marks,accuracy,time_taken,attempts,difficulty_level,topic_coverage,consistency_score
40,33,51,6,easy,47,37
24,53,56,8,easy,42,48
33,31,51,4,easy,46,37
36,49,51,8,easy,46,52
40,52,84,7,easy,47,44
38,38,50,5,easy,62,43
30,38,59,5,easy,64,40
58,62,42,2,medium,76,71
74,68,55,2,medium,79,77
58,72,32,4,medium,74,71
73,66,52,2,medium,66,67
64,62,37,2,medium,77,68
69,71,35,3,medium,76,66
63,62,49,4,medium,70,77
85,87,29,2,hard,89,89
88,83,22,1,hard,97,92
90,90,17,1,hard,99,92
84,97,27,2,hard,87,90
82,89,32,2,hard,96,95
96,94,26,1,hard,87,97
